Metric,NEAREST,LINEAR,CUBIC,LANCZOS4
Accuracy,0.737077,0.792121,0.813076,0.807768
Mean_Confidence,0.774514,0.810816,0.827526,0.827655

Class,NEAREST,LINEAR,CUBIC,LANCZOS4
Neutral,0.703952,0.803132,0.832215,0.828486
Happiness,0.822024,0.897664,0.890990,0.886541
Surprise,0.793926,0.839479,0.852495,0.850325
Sadness,0.789976,0.689737,0.694511,0.675418
Anger,0.619632,0.653374,0.739264,0.742331
Disgust,0.382353,0.500000,0.500000,0.470588
Fear,0.527778,0.513889,0.597222,0.583333
Contempt,0.185185,0.296296,0.296296,0.296296
